General Ledger,,,,,,,Report Date: 27-AUG-2018
,,,,,,,
PT. HADJI KALLA,,,,,,,
Buku Besar 4111101 s.d 4111101,,,,,,,
Product 305,,,,,,,
Tanggal 01-Jan-18 s.d 31-Jan-18,,,,,,,
Branch,140401,,,,Kolaka,,
Account,4111101,,,,Penjualan,,
Tgl. Bukti,No. Bukti,Accounting Date,Keterangan,No. Reff,Debet (Rp.),Kredit (Rp.),Saldo (Rp.)
,,Beginning Balance (Saldo Awal),,,,,0.00
09-Jan-18,216-GA1801R1048397,09-Jan-18,,Sales Invoices,0.00,"1,274,007.27","-94,413,220.33"
09-Jan-18,216-GA1801R1048398,09-Jan-18,,Sales Invoices,0.00,"1,080,937.73","-95,494,158.06"
09-Jan-18,216-GA1801R1048399,09-Jan-18,,Sales Invoices,0.00,"826,202.73","-96,320,360.79"
09-Jan-18,216-GA1801R1048402,09-Jan-18,,Sales Invoices,0.00,"1,330,635.45","-97,650,996.24"
09-Jan-18,216-GA1801R1048405,09-Jan-18,,Sales Invoices,0.00,"159,931.82","-97,810,928.06"
09-Jan-18,216-GA1801R1048408,09-Jan-18,,Sales Invoices,0.00,"1,430,030.45","-99,240,958.51"
09-Jan-18,216-GA1801R1048409,09-Jan-18,,Sales Invoices,0.00,"192,500.00","-99,433,458.51"
09-Jan-18,216-GA1801R1048410,09-Jan-18,,Sales Invoices,0.00,"192,500.00","-99,625,958.51"
09-Jan-18,216-GA1801R1048411,09-Jan-18,,Sales Invoices,0.00,"192,500.00","-99,818,458.51"
09-Jan-18,216-GA1801R1048412,09-Jan-18,,Sales Invoices,0.00,"192,500.00","-100,010,958.51"
09-Jan-18,216-GA1801R1048427,09-Jan-18,,Sales Invoices,0.00,"3,919,723.64","-103,930,682.15"
10-Jan-18,216-GA1801R1048436,10-Jan-18,,Sales Invoices,0.00,"837,940.45","-104,768,622.60"
10-Jan-18,216-GA1801R1048439,10-Jan-18,,Sales Invoices,0.00,"788,228.18","-105,556,850.78"
10-Jan-18,216-GA1801R1048442,10-Jan-18,,Sales Invoices,0.00,"772,731.82","-106,329,582.60"
10-Jan-18,216-GA1801R1048444,10-Jan-18,,Sales Invoices,0.00,"618,685.45","-106,948,268.05"
10-Jan-18,216-GA1801R1048445,10-Jan-18,,Sales Invoices,0.00,"186,500.00","-107,134,768.05"
10-Jan-18,216-GA1801R1048448,10-Jan-18,,Sales Invoices,0.00,"80,500.00","-107,215,268.05"
10-Jan-18,216-GA1801R1048449,10-Jan-18,,Sales Invoices,0.00,"1,400,574.09","-108,615,842.14"
10-Jan-18,216-GA1801R1048454,10-Jan-18,,Sales Invoices,0.00,"4,693,271.82","-113,309,113.96"
10-Jan-18,216-WA1801R1048433,10-Jan-18,,Sales Invoices,0.00,"20,684,363.64","-133,993,477.60"
11-Jan-18,216-GA1801R1048456,11-Jan-18,,Sales Invoices,0.00,"117,136.36","-134,110,613.96"
11-Jan-18,216-GA1801R1048457,11-Jan-18,,Sales Invoices,0.00,"1,025,175.45","-135,135,789.41"
11-Jan-18,216-GA1801R1048458,11-Jan-18,,Sales Invoices,0.00,"159,771.82","-135,295,561.23"
11-Jan-18,216-GA1801R1048459,11-Jan-18,,Sales Invoices,0.00,"1,460,956.36","-136,756,517.59"
11-Jan-18,216-GA1801R1048460,11-Jan-18,,Sales Invoices,0.00,"1,532,237.73","-138,288,755.32"
11-Jan-18,216-GA1801R1048463,11-Jan-18,,Sales Invoices,0.00,"1,334,708.18","-139,623,463.50"
11-Jan-18,216-GA1801R1048469,11-Jan-18,,Sales Invoices,0.00,"1,904,802.27","-141,528,265.77"
11-Jan-18,216-GA1801R1048470,11-Jan-18,,Sales Invoices,0.00,"1,701,415.45","-143,229,681.22"
12-Jan-18,216-GA1801R1048471,12-Jan-18,,Sales Invoices,0.00,"178,409.09","-143,408,090.31"
12-Jan-18,216-GA1801R1048472,12-Jan-18,,Sales Invoices,0.00,"1,226,990.91","-144,635,081.22"
12-Jan-18,216-GA1801R1048476,12-Jan-18,,Sales Invoices,0.00,"578,002.73","-145,213,083.95"
12-Jan-18,216-GA1801R1048477,12-Jan-18,,Sales Invoices,0.00,"328,181.82","-145,541,265.77"
12-Jan-18,216-GA1801R1048479,12-Jan-18,,Sales Invoices,0.00,"1,124,386.36","-146,665,652.13"
12-Jan-18,216-GA1801R1048481,12-Jan-18,,Sales Invoices,0.00,"1,257,793.64","-147,923,445.77"
12-Jan-18,216-GA1801R1048484,12-Jan-18,,Sales Invoices,0.00,"869,728.18","-148,793,173.95"
12-Jan-18,216-GA1801R1048485,12-Jan-18,,Sales Invoices,0.00,"1,179,389.09","-149,972,563.04"
13-Jan-18,216-GA1801R1048487,13-Jan-18,,Sales Invoices,0.00,"223,815.45","-150,196,378.49"
13-Jan-18,216-GA1801R1048488,13-Jan-18,,Sales Invoices,0.00,"62,272.73","-150,258,651.22"
13-Jan-18,216-GA1801R1048490,13-Jan-18,,Sales Invoices,0.00,"1,057,847.73","-151,316,498.95"
13-Jan-18,216-GA1801R1048491,13-Jan-18,,Sales Invoices,0.00,"1,110,715.91","-152,427,214.86"
13-Jan-18,216-GA1801R1048492,13-Jan-18,,Sales Invoices,0.00,"809,087.73","-153,236,302.59"
13-Jan-18,216-GA1801R1048493,13-Jan-18,,Sales Invoices,0.00,"875,908.18","-154,112,210.77"
13-Jan-18,216-GA1801R1048494,13-Jan-18,,Sales Invoices,0.00,"1,142,484.09","-155,254,694.86"
13-Jan-18,216-GA1801R1048495,13-Jan-18,,Sales Invoices,0.00,"882,589.09","-156,137,283.95"
13-Jan-18,216-GA1801R1048497,13-Jan-18,,Sales Invoices,0.00,"786,339.09","-156,923,623.04"
13-Jan-18,216-GA1801R1048498,13-Jan-18,,Sales Invoices,0.00,"181,409.09","-157,105,032.13"
13-Jan-18,216-GA1801R1048500,13-Jan-18,,Sales Invoices,0.00,"609,090.91","-157,714,123.04"
13-Jan-18,216-GA1801R1048501,13-Jan-18,,Sales Invoices,0.00,"614,002.73","-158,328,125.77"
13-Jan-18,216-GA1801R1048503,13-Jan-18,,Sales Invoices,0.00,"200,339.09","-158,528,464.86"
13-Jan-18,216-GA1801R1048504,13-Jan-18,,Sales Invoices,0.00,"786,074.82","-159,314,539.68"
13-Jan-18,216-GA1801R1048505,13-Jan-18,,Sales Invoices,0.00,"771,659.09","-160,086,198.77"
13-Jan-18,216-GA1801R1048506,13-Jan-18,,Sales Invoices,0.00,"1,381,320.00","-161,467,518.77"
13-Jan-18,216-GA1801R1048507,13-Jan-18,,Sales Invoices,0.00,"822,979.09","-162,290,497.86"
13-Jan-18,216-GA1801R1048508,13-Jan-18,,Sales Invoices,0.00,"678,639.09","-162,969,136.95"
13-Jan-18,216-GA1801R1048509,13-Jan-18,,Sales Invoices,0.00,"481,863.64","-163,451,000.59"
13-Jan-18,216-GA1801R1048510,13-Jan-18,,Sales Invoices,0.00,"1,131,295.45","-164,582,296.04"
13-Jan-18,216-GA1801R1048511,13-Jan-18,,Sales Invoices,0.00,"2,106,030.45","-166,688,326.49"
15-Jan-18,216-GA1801R1048513,15-Jan-18,,Sales Invoices,0.00,"542,749.09","-167,231,075.58"
15-Jan-18,216-GA1801R1048514,15-Jan-18,,Sales Invoices,0.00,"69,000.00","-167,300,075.58"
15-Jan-18,216-GA1801R1048517,15-Jan-18,,Sales Invoices,0.00,"328,227.27","-167,628,302.85"
15-Jan-18,216-GA1801R1048519,15-Jan-18,,Sales Invoices,0.00,"1,749,050.91","-169,377,353.76"
15-Jan-18,216-GA1801R1048520,15-Jan-18,,Sales Invoices,0.00,"1,077,976.36","-170,455,330.12"
15-Jan-18,216-GA1801R1048521,15-Jan-18,,Sales Invoices,0.00,"1,423,848.64","-171,879,178.76"
15-Jan-18,216-GA1801R1048522,15-Jan-18,,Sales Invoices,0.00,"1,202,606.64","-173,081,785.40"
15-Jan-18,216-GA1801R1048526,15-Jan-18,,Sales Invoices,0.00,"169,318.18","-173,251,103.58"
15-Jan-18,216-GA1801R1048527,15-Jan-18,,Sales Invoices,0.00,"197,045.45","-173,448,149.03"
15-Jan-18,216-GA1801R1048532,15-Jan-18,,Sales Invoices,0.00,"267,273.64","-173,715,422.67"
15-Jan-18,216-GA1801R1048533,15-Jan-18,,Sales Invoices,0.00,"948,853.09","-174,664,275.76"
15-Jan-18,216-GA1801R1048534,15-Jan-18,,Sales Invoices,0.00,"1,366,178.64","-176,030,454.40"
16-Jan-18,216-GA1801R1048537,16-Jan-18,,Sales Invoices,0.00,"1,369,885.00","-177,400,339.40"
16-Jan-18,216-GA1801R1048538,16-Jan-18,,Sales Invoices,0.00,"1,648,845.00","-179,049,184.40"
16-Jan-18,216-GA1801R1048540,16-Jan-18,,Sales Invoices,0.00,"1,047,936.36","-180,097,120.76"
16-Jan-18,216-GA1801R1048541,16-Jan-18,,Sales Invoices,0.00,"990,218.18","-181,087,338.94"
16-Jan-18,216-GA1801R1048543,16-Jan-18,,Sales Invoices,0.00,"942,258.18","-182,029,597.12"
16-Jan-18,216-GA1801R1048544,16-Jan-18,,Sales Invoices,0.00,"1,224,665.91","-183,254,263.03"
16-Jan-18,216-GA1801R1048545,16-Jan-18,,Sales Invoices,0.00,"73,193.64","-183,327,456.67"
16-Jan-18,216-GA1801R1048546,16-Jan-18,,Sales Invoices,0.00,"1,020,121.36","-184,347,578.03"
16-Jan-18,216-GA1801R1048547,16-Jan-18,,Sales Invoices,0.00,"812,316.36","-185,159,894.39"
16-Jan-18,216-GA1801R1048548,16-Jan-18,,Sales Invoices,0.00,"490,340.91","-185,650,235.30"
16-Jan-18,216-GA1801R1048549,16-Jan-18,,Sales Invoices,0.00,"983,249.09","-186,633,484.39"
16-Jan-18,216-GA1801R1048550,16-Jan-18,,Sales Invoices,0.00,"817,180.91","-187,450,665.30"
16-Jan-18,216-GA1801R1048551,16-Jan-18,,Sales Invoices,0.00,"858,137.27","-188,308,802.57"
16-Jan-18,216-GA1801R1048552,16-Jan-18,,Sales Invoices,0.00,"1,066,590.00","-189,375,392.57"
16-Jan-18,216-GA1801R1048553,16-Jan-18,,Sales Invoices,0.00,"1,020,527.27","-190,395,919.84"
16-Jan-18,216-GA1801R1048556,16-Jan-18,,Sales Invoices,0.00,"305,088.18","-190,701,008.02"
16-Jan-18,216-GA1801R1048557,16-Jan-18,,Sales Invoices,0.00,"1,017,118.64","-191,718,126.66"
16-Jan-18,216-GA1801R1048558,16-Jan-18,,Sales Invoices,0.00,"529,998.18","-192,248,124.84"
16-Jan-18,216-GA1801R1048559,16-Jan-18,,Sales Invoices,0.00,"651,293.64","-192,899,418.48"
16-Jan-18,216-GA1801R1048560,16-Jan-18,,Sales Invoices,0.00,"556,931.82","-193,456,350.30"
16-Jan-18,216-GA1801R1048561,16-Jan-18,,Sales Invoices,0.00,"463,160.00","-193,919,510.30"
16-Jan-18,216-GA1801R1048565,16-Jan-18,,Sales Invoices,0.00,"616,550.91","-194,536,061.21"
16-Jan-18,216-GA1801R1048567,16-Jan-18,,Sales Invoices,0.00,"787,205.45","-195,323,266.66"
16-Jan-18,216-GA1801R1048568,16-Jan-18,,Sales Invoices,0.00,"939,954.55","-196,263,221.21"
16-Jan-18,216-GA1801R1048570,16-Jan-18,,Sales Invoices,0.00,"586,938.18","-196,850,159.39"
16-Jan-18,216-GA1801R1048571,16-Jan-18,,Sales Invoices,0.00,"1,061,120.45","-197,911,279.84"
16-Jan-18,216-GA1801R1048572,16-Jan-18,,Sales Invoices,0.00,"1,257,088.18","-199,168,368.02"
16-Jan-18,216-GA1801R1048573,16-Jan-18,,Sales Invoices,0.00,"1,026,121.36","-200,194,489.38"
16-Jan-18,216-GA1801R1048574,16-Jan-18,,Sales Invoices,0.00,"1,204,182.73","-201,398,672.11"
16-Jan-18,216-GA1801R1048575,16-Jan-18,,Sales Invoices,0.00,"1,501,653.82","-202,900,325.93"
16-Jan-18,216-GA1801R1048576,16-Jan-18,,Sales Invoices,0.00,"1,428,664.09","-204,328,990.02"
16-Jan-18,216-GA1801R1048577,16-Jan-18,,Sales Invoices,0.00,"242,046.36","-204,571,036.38"
16-Jan-18,216-GA1801R1048578,16-Jan-18,,Sales Invoices,0.00,"921,351.82","-205,492,388.20"
16-Jan-18,216-GA1801R1048581,16-Jan-18,,Sales Invoices,0.00,"1,247,590.00","-206,739,978.20"
16-Jan-18,216-GA1801R1048584,16-Jan-18,,Sales Invoices,0.00,"1,748,991.36","-208,488,969.56"
16-Jan-18,216-GA1801R1048586,16-Jan-18,,Sales Invoices,0.00,"81,818.18","-208,570,787.74"
16-Jan-18,216-GA1801R1048587,16-Jan-18,,Sales Invoices,0.00,"54,000.00","-208,624,787.74"
16-Jan-18,216-GA1801R1048588,16-Jan-18,,Sales Invoices,0.00,"50,727.27","-208,675,515.01"
16-Jan-18,216-GA1801R1048589,16-Jan-18,,Sales Invoices,0.00,"98,181.82","-208,773,696.83"
16-Jan-18,216-WA1801R1048562,16-Jan-18,,Sales Invoices,0.00,"280,546.36","-209,054,243.19"
16-Jan-18,216-WA1801R1048563,16-Jan-18,,Sales Invoices,0.00,"2,923,272.73","-211,977,515.92"
16-Jan-18,216-WA1801R1048564,16-Jan-18,,Sales Invoices,0.00,"6,482,545.45","-218,460,061.37"
17-Jan-18,216-GA1801R1048592,17-Jan-18,,Sales Invoices,0.00,"781,818.18","-219,241,879.55"
17-Jan-18,216-GA1801R1048593,17-Jan-18,,Sales Invoices,0.00,"774,659.09","-220,016,538.64"
17-Jan-18,216-GA1801R1048594,17-Jan-18,,Sales Invoices,0.00,"636,363.64","-220,652,902.28"
17-Jan-18,216-GA1801R1048595,17-Jan-18,,Sales Invoices,0.00,"790,570.00","-221,443,472.28"
17-Jan-18,216-GA1801R1048596,17-Jan-18,,Sales Invoices,0.00,"1,029,121.36","-222,472,593.64"
17-Jan-18,216-GA1801R1048597,17-Jan-18,,Sales Invoices,0.00,"584,125.91","-223,056,719.55"
17-Jan-18,216-GA1801R1048598,17-Jan-18,,Sales Invoices,0.00,"600,340.91","-223,657,060.46"
17-Jan-18,216-GA1801R1048599,17-Jan-18,,Sales Invoices,0.00,"745,110.91","-224,402,171.37"
17-Jan-18,216-GA1801R1048601,17-Jan-18,,Sales Invoices,0.00,"354,770.91","-224,756,942.28"
17-Jan-18,216-GA1801R1048603,17-Jan-18,,Sales Invoices,0.00,"583,548.18","-225,340,490.46"
17-Jan-18,216-GA1801R1048604,17-Jan-18,,Sales Invoices,0.00,"1,739,624.09","-227,080,114.55"
17-Jan-18,216-GA1801R1048606,17-Jan-18,,Sales Invoices,0.00,"1,087,090.91","-228,167,205.46"
17-Jan-18,216-GA1801R1048607,17-Jan-18,,Sales Invoices,0.00,"787,838.18","-228,955,043.64"
17-Jan-18,216-GA1801R1048608,17-Jan-18,,Sales Invoices,0.00,"781,479.09","-229,736,522.73"
17-Jan-18,216-GA1801R1048609,17-Jan-18,,Sales Invoices,0.00,"754,201.82","-230,490,724.55"
17-Jan-18,216-GA1801R1048610,17-Jan-18,,Sales Invoices,0.00,"1,335,413.27","-231,826,137.82"
